#starname       AV                   EBV                  RV
als1550         2.049 +/- 0.036      0.430 +/- 0.037      4.769 +/- 0.421     
als1550         2.064 +/- 0.036      0.437 +/- 0.037      4.724 +/- 0.411     
als1550         2.040 +/- 0.036      0.423 +/- 0.037      4.824 +/- 0.433     
als8415         4.316 +/- 0.018      0.880 +/- 0.057      4.903 +/- 0.319     
als8415         4.388 +/- 0.018      0.897 +/- 0.057      4.892 +/- 0.313     
als3326         2.778 +/- 0.037      0.577 +/- 0.083      4.818 +/- 0.694     
als3326         2.541 +/- 0.037      0.507 +/- 0.083      5.010 +/- 0.820     
als3326         2.578 +/- 0.037      0.526 +/- 0.083      4.906 +/- 0.775     
als3326         2.578 +/- 0.037      0.526 +/- 0.083      4.906 +/- 0.775     
als4097         2.084 +/- 0.036      0.444 +/- 0.058      4.690 +/- 0.617     
als4097         2.097 +/- 0.036      0.448 +/- 0.058      4.676 +/- 0.609     
als1600         2.570 +/- 0.040      0.550 +/- 0.074      4.671 +/- 0.634     
als19-623       2.169 +/- 0.071      0.447 +/- 0.278      4.856 +/- 3.029     
als698          2.279 +/- 0.037      0.489 +/- 0.075      4.661 +/- 0.717     
als698          2.208 +/- 0.037      0.468 +/- 0.075      4.713 +/- 0.757     
als698          1.870 +/- 0.037      0.375 +/- 0.075      4.986 +/- 0.999     
als6268         2.590 +/- 0.018      0.555 +/- 0.038      4.668 +/- 0.326     
als6268         2.622 +/- 0.018      0.569 +/- 0.038      4.610 +/- 0.314     
als6268         2.582 +/- 0.018      0.553 +/- 0.038      4.673 +/- 0.327     
als6268         2.582 +/- 0.018      0.553 +/- 0.038      4.673 +/- 0.327     
als4709         3.084 +/- 0.036      0.669 +/- 0.051      4.610 +/- 0.356     
als1549         2.001 +/- 0.038      0.448 +/- 0.057      4.461 +/- 0.575     
als6255         3.159 +/- 0.042      0.692 +/- 0.072      4.566 +/- 0.482     
als6255         3.184 +/- 0.042      0.696 +/- 0.072      4.574 +/- 0.480     
